Make,Symboling,BodyStyle,CityMPG,HighwayMPG,Price
alfa-romero,3,convertible,21,27,13495.0
alfa-romero,3,convertible,21,27,16500.0
alfa-romero,1,hatchback,19,26,16500.0
audi,2,sedan,24,30,13950.0
audi,2,sedan,18,22,17450.0
audi,2,sedan,19,25,15250.0
audi,1,sedan,19,25,17710.0
audi,1,suv,19,25,18920.0
audi,1,sedan,17,20,23875.0
audi,0,hatchback,16,22,17859.0
bmw,2,sedan,23,29,16430.0
bmw,0,sedan,23,29,16925.0
bmw,0,sedan,21,28,20970.0
bmw,0,sedan,21,28,21105.0
bmw,1,sedan,20,25,24565.0
bmw,0,sedan,16,22,30760.0
bmw,0,sedan,16,22,41315.0
bmw,0,sedan,15,20,36880.0
chevrolet,2,hatchback,47,53,5151.0
chevrolet,1,hatchback,38,43,6295.0
chevrolet,0,sedan,38,43,6575.0
dodge,1,hatchback,37,41,5572.0
dodge,1,hatchback,31,38,6377.0
dodge,1,hatchback,24,30,7957.0
dodge,1,hatchback,31,38,6229.0
dodge,1,sedan,31,38,6692.0
dodge,1,sedan,31,38,7609.0
dodge,1,sedan,24,30,8558.0
dodge,-1,suv,24,30,8921.0
dodge,3,hatchback,19,24,12964.0
honda,2,hatchback,49,54,6479.0
honda,2,hatchback,31,38,6855.0
honda,1,hatchback,38,42,5399.0
honda,1,hatchback,30,34,6529.0
honda,1,hatchback,30,34,7129.0
honda,0,sedan,30,34,7295.0
honda,0,suv,30,34,7295.0
honda,0,hatchback,27,33,7895.0
honda,0,hatchback,27,33,9095.0
honda,0,sedan,27,33,8845.0
honda,0,sedan,27,33,10295.0
honda,0,sedan,24,28,12945.0
honda,1,sedan,25,31,10345.0
isuzu,0,sedan,24,29,6785.0
isuzu,1,sedan,38,43,8916.5
isuzu,2,hatchback,24,29,11048.0
isuzu,0,sedan,38,43,8916.5
jaguar,0,sedan,15,19,32250.0
jaguar,0,sedan,15,19,35550.0
jaguar,0,sedan,13,17,36000.0
mazda,1,hatchback,30,31,5195.0
mazda,1,hatchback,31,38,6095.0
